History Key,Source,Provider,Programme,Call ID,Topic ID,Title,Type,URL,Opened,Deadline,First Seen,Last Seen,Seen Snapshots,Seen Count,Currently Matched,Last Status,Last Urgency,Last Days,Score,Matched Terms,Theme
asi|workshop-italo-argentinian-cooperation-in-high-education-earth-observation|https://www.asi.it/2026/05/workshop-italo-argentinian-cooperation-in-high-education-earth-observation/|workshop “italo-argentinian cooperation in high education & earth observation” ‣,ASI,Agenzia Spaziale Italiana,ASI national calls and procurements,,workshop-italo-argentinian-cooperation-in-high-education-earth-observation,Workshop “Italo-Argentinian cooperation in High Education & Earth Observation” ‣,Call / notice,https://www.asi.it/2026/05/workshop-italo-argentinian-cooperation-in-high-education-earth-observation/,,,2026-09-01,2026-09-01,2026-09-01,1,no,Check source,BLUE - check source/no deadline,,10,"earth observation, iride, osservazione della terra","nfrastruttura spaziale nazionale L’Agenzia Spaziale Italiana (ASI) annuncia l’avvio della fase operativa di IRIDE,... Score tot: 22.8pt (23 sottr. 0.2pt) Nel titolo: 1 x 5pt Nel body: 18pt News Workshop “Italo-Argentinian cooperation in High Education & Earth Observation” ‣ 28 Maggio 2026 Giornata di incontro con gli studenti del programma bilaterale Italia – Argentina di Alta Formazione in Osservazione della Terra Il 27 maggio, presso... Score tot: 1.7pt (2 sottr. 0.3pt) Nel titolo: 0 x 5pt Nel body: 2pt Evento <a target=""_self"" href=""https://www.asi.it/event/lagenzia-spaziale-ital"
asi|altri-bandi-e-iniziative|https://www.asi.it/bandi/altri-bandi-e-iniziative/|‣ altri bandi e iniziative dedicate alla space economy,ASI,Agenzia Spaziale Italiana,ASI national calls and procurements,,altri-bandi-e-iniziative,‣ Altri Bandi e Iniziative dedicate alla Space Economy,Call / notice,https://www.asi.it/bandi/altri-bandi-e-iniziative/,,,2026-09-01,2026-09-01,2026-09-01,1,no,Check source,BLUE - check source/no deadline,,3,space economy,"title=""Read""> ‣ Bandi ESA ‣ Bandi Unione Europea ‣ Altri Bandi e Iniziative dedicate alla Space Economy » Bandi e Concorsi ASI: archivio storico"
asi|bandi-esa|https://www.asi.it/bandi/bandi-esa/|‣ bandi esa,ASI,Agenzia Spaziale Italiana,ASI national calls and procurements,,bandi-esa,‣ Bandi ESA,Call / notice,https://www.asi.it/bandi/bandi-esa/,,,2026-09-01,2026-09-01,2026-09-01,1,no,Check source,BLUE - check source/no deadline,,3,space economy,"erito a bandi, gare d'appalto, call e altre opportunità rivolte alla comunità scientifica e industriale. ‣ Bandi ASI ‣ Bandi ESA ‣ Bandi Unione Europea ‣ Altri Bandi e Iniziative dedicate alla Space Economy </div"
asi|bandi-unione-europea|https://www.asi.it/bandi/bandi-unione-europea/|‣ bandi unione europea,ASI,Agenzia Spaziale Italiana,ASI national calls and procurements,,bandi-unione-europea,‣ Bandi Unione Europea,Call / notice,https://www.asi.it/bandi/bandi-unione-europea/,,,2026-09-01,2026-09-01,2026-09-01,1,no,Check source,BLUE - check source/no deadline,,3,space economy,"andi-asi/"" title=""Read""> ‣ Bandi ASI ‣ Bandi ESA ‣ Bandi Unione Europea ‣ Altri Bandi e Iniziative dedicate alla Space Economy » <a target=""_blank"" href=""https://www.asi.it/archivio-storico/"" title=""Bandi e C"
"aeronautica militare|avviso-pubblico-di-manifestazione-di-interesse-a-partecipare-alle-procedure-di-affidamento-ex-art-50-comma-1-decreto-legislativo-31-marzo-2023-n-36-per-il-biennio-2026-2027|https://www.aeronautica.difesa.it/tender/avviso-pubblico-di-manifestazione-di-interesse-a-partecipare-alle-procedure-di-affidamento-ex-art-50-comma-1-decreto-legislativo-31-marzo-2023-n-36-per-il-biennio-2026-2027/|avviso pubblico di manifestazione di interesse a partecipare alle procedure di affidamento ex art. 50 comma 1, decreto legislativo 31 marzo 2023, n. 36.",Aeronautica Militare,Aeronautica Militare,Aeronautica Militare procurement,,avviso-pubblico-di-manifestazione-di-interesse-a-partecipare-alle-procedure-di-affidamento-ex-art-50-comma-1-decreto-legislativo-31-marzo-2023-n-36-per-il-biennio-2026-2027,"AVVISO PUBBLICO DI MANIFESTAZIONE DI INTERESSE A PARTECIPARE ALLE PROCEDURE DI AFFIDAMENTO EX ART. 50 COMMA 1, DECRETO LEGISLATIVO 31 MARZO 2023, N. 36.",Expression of interest,https://www.aeronautica.difesa.it/tender/avviso-pubblico-di-manifestazione-di-interesse-a-partecipare-alle-procedure-di-affidamento-ex-art-50-comma-1-decreto-legislativo-31-marzo-2023-n-36-per-il-biennio-2026-2027/,,2027-12-31,2026-09-02,2026-09-02,2026-09-02,1,no,Open/check source,GREEN - due >45 days,485,3,"manifestazione di interesse, security","AVVISO PUBBLICO DI MANIFESTAZIONE DI INTERESSE A PARTECIPARE ALLE PROCEDURE DI AFFIDAMENTO EX ART. 50 COMMA 1, DECRETO LEGISLATIVO 31 MARZO 2023, N. 36. - Aeronautica Militare Vai al contenuto IT IT EN × Versioni documenti precedenti OGGETTO AVVISO PUBBLICO DI MANIFESTAZIONE DI INTERESSE A PARTECIPARE ALLE PROCEDURE DI AFFIDAMENTO EX ART. 50 COMMA 1, DECRETO LEGISLATIVO 31 MARZO 2023, N. 36. Identificativo gara/CIG: Data inserimento gara: 16/01/2026 Ente: 2° REPARTO GENIO A.M. (CIAMPINO - RM) Link BDNCP: Aggiornamento al: Data di scadenza: 31/12/2027 PUBBLICAZIONE Avviso di manifestazione di interesse 2026/2027 Servizi di Ingegneria Forniture e Noli Lavori e Servizi AFFIDAMENTO Nessun dato d"
"aeronautica militare|avviso-pubblico-di-manifestazione-di-interesse-a-partecipare-alle-procedure-di-affidamento-ex-art-50-comma-1-decreto-legislativo-31-marzo-2023-n-36-per-il-biennio-2026-2027|https://www.aeronautica.difesa.it/tender/avviso-pubblico-di-manifestazione-di-interesse-a-partecipare-alle-procedure-di-affidamento-ex-art-50-comma-1-decreto-legislativo-31-marzo-2023-n-36-per-il-biennio-2026-2027/|avviso pubblico di manifestazione di interesse a partecipare alle procedure di affidamento ex art. 50 comma 1, decreto legislativo 31 marzo 2023, n. 36. - aeronautica militare",Aeronautica Militare,Aeronautica Militare,Aeronautica Militare procurement,,avviso-pubblico-di-manifestazione-di-interesse-a-partecipare-alle-procedure-di-affidamento-ex-art-50-comma-1-decreto-legislativo-31-marzo-2023-n-36-per-il-biennio-2026-2027,"AVVISO PUBBLICO DI MANIFESTAZIONE DI INTERESSE A PARTECIPARE ALLE PROCEDURE DI AFFIDAMENTO EX ART. 50 COMMA 1, DECRETO LEGISLATIVO 31 MARZO 2023, N. 36. - Aeronautica Militare",Expression of interest,https://www.aeronautica.difesa.it/tender/avviso-pubblico-di-manifestazione-di-interesse-a-partecipare-alle-procedure-di-affidamento-ex-art-50-comma-1-decreto-legislativo-31-marzo-2023-n-36-per-il-biennio-2026-2027/,,2027-12-31,2026-09-01,2026-09-02,2026-09-01;2026-09-02,2,no,Open/check source,GREEN - due >45 days,485,3,"manifestazione di interesse, security","AVVISO PUBBLICO DI MANIFESTAZIONE DI INTERESSE A PARTECIPARE ALLE PROCEDURE DI AFFIDAMENTO EX ART. 50 COMMA 1, DECRETO LEGISLATIVO 31 MARZO 2023, N. 36. - Aeronautica Militare Vai al contenuto IT IT EN × Versioni documenti precedenti OGGETTO AVVISO PUBBLICO DI MANIFESTAZIONE DI INTERESSE A PARTECIPARE ALLE PROCEDURE DI AFFIDAMENTO EX ART. 50 COMMA 1, DECRETO LEGISLATIVO 31 MARZO 2023, N. 36. Identificativo gara/CIG: Data inserimento gara: 16/01/2026 Ente: 2° REPARTO GENIO A.M. (CIAMPINO - RM) Link BDNCP: Aggiornamento al: Data di scadenza: 31/12/2027 PUBBLICAZIONE Avviso di manifestazione di interesse 2026/2027 Servizi di Ingegneria Forniture e Noli Lavori e Servizi AFFIDAMENTO Nessun dato d"
aeronautica militare|acquisizione-di-collegamenti-satcom-in-banda-ku-per-esigenze-dellaeronautica-militare|https://www.aeronautica.difesa.it/tender/acquisizione-di-collegamenti-satcom-in-banda-ku-per-esigenze-dellaeronautica-militare/|acquisizione di collegamenti satcom in banda ku per esigenze dell’aeronautica militare,Aeronautica Militare,Aeronautica Militare,Aeronautica Militare procurement,,acquisizione-di-collegamenti-satcom-in-banda-ku-per-esigenze-dellaeronautica-militare,Acquisizione di collegamenti SATCOM in banda KU per esigenze dell’Aeronautica Militare,Procurement,https://www.aeronautica.difesa.it/tender/acquisizione-di-collegamenti-satcom-in-banda-ku-per-esigenze-dellaeronautica-militare/,,,2026-09-01,2026-09-02,2026-09-01;2026-09-02,2,no,Check source,BLUE - check source/no deadline,,5,"acquisizione, satcom","one – Installazione di antenne SATCOM. Leggi Tutto » 30 Gennaio 2026 Acquisizione di collegamenti SATCOM in banda KU per esigenze dell’Aeronautica Militare Leggi Tutto » 15 Aprile 2025 <img width=""768"" height=""512"" src=""https://www.aeronautica.difesa.it/wp-content/uploads/2024/08/Rientrati_in_Italia_velivoli_e_personale_Indopacifico_2024-5-768x512.jpg"" class=""attachment-medium_large size-medium_large wp"
"aeronautica militare|acquisizione-di-un-collegamento-satcom-commerciale-in-banda-ku-per-le-esigenze-operative-dellassetto-mq-9a-in-dotazione-al-61-gruppo-volo|https://www.aeronautica.difesa.it/tender/acquisizione-di-un-collegamento-satcom-commerciale-in-banda-ku-per-le-esigenze-operative-dellassetto-mq-9a-in-dotazione-al-61-gruppo-volo/|acquisizione di un collegamento satcom commerciale, in banda ku, per le esigenze operative dell’assetto mq-9a in dotazione al 61° gruppo volo",Aeronautica Militare,Aeronautica Militare,Aeronautica Militare procurement,,acquisizione-di-un-collegamento-satcom-commerciale-in-banda-ku-per-le-esigenze-operative-dellassetto-mq-9a-in-dotazione-al-61-gruppo-volo,"Acquisizione di un collegamento SATCOM commerciale, in banda Ku, per le esigenze operative dell’assetto MQ-9A in dotazione al 61° Gruppo Volo",Procurement,https://www.aeronautica.difesa.it/tender/acquisizione-di-un-collegamento-satcom-commerciale-in-banda-ku-per-le-esigenze-operative-dellassetto-mq-9a-in-dotazione-al-61-gruppo-volo/,,,2026-09-01,2026-09-02,2026-09-01;2026-09-02,2,no,Check source,BLUE - check source/no deadline,,9,"acquisizione, mq-9a, satcom, security","Acquisizione di un collegamento SATCOM commerciale, in banda Ku, per le esigenze operative dell’assetto MQ-9A in dotazione al 61° Gruppo Volo - Aeronautica Militare Skip to content EN EN IT × Previous document versions Subject Acquisizione di un collegamento SATCOM commerciale, in banda Ku, per le esigenze operative dell’assetto MQ-9A in dotazione al 61° Gruppo Volo Race/CIG Identifier: BB8D6B96D3 Race entry date: 02/04/2026 Duck GENERAL OFFICE ADMINISTRATIVE RESPONSIBILITY CENTRE (ROME) BDNCP Link https://dati.anticorruzione.it/superset/recaptcha/?cig=BB8D6B96D3&next=dettaglio_cig Update to: 24/07/2026 Expiry date Publication Resolution to contract Tender notice/Invitation to tender/Letter"
"aeronautica militare|acquisizione-di-un-collegamento-satcom-commerciale-in-banda-ku-per-le-esigenze-operative-dellassetto-mq-9a-in-dotazione-al-61-gruppo-volo|https://www.aeronautica.difesa.it/en/tender/acquisizione-di-un-collegamento-satcom-commerciale-in-banda-ku-per-le-esigenze-operative-dellassetto-mq-9a-in-dotazione-al-61-gruppo-volo/|acquisizione di un collegamento satcom commerciale, in banda ku, per le esigenze operative dell’assetto mq-9a in dotazione al 61° gruppo volo - aeronautica militare",Aeronautica Militare,Aeronautica Militare,Aeronautica Militare procurement,,acquisizione-di-un-collegamento-satcom-commerciale-in-banda-ku-per-le-esigenze-operative-dellassetto-mq-9a-in-dotazione-al-61-gruppo-volo,"Acquisizione di un collegamento SATCOM commerciale, in banda Ku, per le esigenze operative dell’assetto MQ-9A in dotazione al 61° Gruppo Volo - Aeronautica Militare",Procurement,https://www.aeronautica.difesa.it/en/tender/acquisizione-di-un-collegamento-satcom-commerciale-in-banda-ku-per-le-esigenze-operative-dellassetto-mq-9a-in-dotazione-al-61-gruppo-volo/,,,2026-09-01,2026-09-01,2026-09-01,1,no,Check source,BLUE - check source/no deadline,,8,"acquisizione, mq-9a, satcom","Acquisizione di un collegamento SATCOM commerciale, in banda Ku, per le esigenze operative dell’assetto MQ-9A in dotazione al 61° Gruppo Volo - Aeronautica Militare Skip to content EN EN IT × Previous document versions Subject Acquisizione di un collegamento SATCOM commerciale, in banda Ku, per le esigenze operative dell’assetto MQ-9A in dotazione al 61° Gruppo Volo Race/CIG Identifier: BB8D6B96D3 Race entry date: 02/04/2026 Duck GENERAL OFFICE ADMINISTRATIVE RESPONSIBILITY CENTRE (ROME) BDNCP Link https://dati.anticorruzione.it/superset/recaptcha/?cig=BB8D6B96D3&next=dettaglio_cig Update to: 24/07/2026 Expiry date Publication Resolution to contract Tender notice/Invitation to tender/Letter"
"aeronautica militare|acquisizione-di-un-collegamento-satcom-commerciale-in-banda-ku-per-le-esigenze-operative-dellassetto-mq-9a-in-dotazione-al-61-gruppo-volo|https://www.aeronautica.difesa.it/tender/acquisizione-di-un-collegamento-satcom-commerciale-in-banda-ku-per-le-esigenze-operative-dellassetto-mq-9a-in-dotazione-al-61-gruppo-volo/|acquisizione di un collegamento satcom commerciale, in banda ku, per le esigenze operative dell’assetto mq-9a in dotazione al 61° gruppo volo - aeronautica militare",Aeronautica Militare,Aeronautica Militare,Aeronautica Militare procurement,,acquisizione-di-un-collegamento-satcom-commerciale-in-banda-ku-per-le-esigenze-operative-dellassetto-mq-9a-in-dotazione-al-61-gruppo-volo,"Acquisizione di un collegamento SATCOM commerciale, in banda Ku, per le esigenze operative dell’assetto MQ-9A in dotazione al 61° Gruppo Volo - Aeronautica Militare",Procurement,https://www.aeronautica.difesa.it/tender/acquisizione-di-un-collegamento-satcom-commerciale-in-banda-ku-per-le-esigenze-operative-dellassetto-mq-9a-in-dotazione-al-61-gruppo-volo/,,,2026-09-01,2026-09-02,2026-09-01;2026-09-02,2,no,Check source,BLUE - check source/no deadline,,9,"acquisizione, mq-9a, satcom, security","Acquisizione di un collegamento SATCOM commerciale, in banda Ku, per le esigenze operative dell’assetto MQ-9A in dotazione al 61° Gruppo Volo - Aeronautica Militare Skip to content EN EN IT × Previous document versions Subject Acquisizione di un collegamento SATCOM commerciale, in banda Ku, per le esigenze operative dell’assetto MQ-9A in dotazione al 61° Gruppo Volo Race/CIG Identifier: BB8D6B96D3 Race entry date: 02/04/2026 Duck GENERAL OFFICE ADMINISTRATIVE RESPONSIBILITY CENTRE (ROME) BDNCP Link https://dati.anticorruzione.it/superset/recaptcha/?cig=BB8D6B96D3&next=dettaglio_cig Update to: 24/07/2026 Expiry date Publication Resolution to contract Tender notice/Invitation to tender/Letter"
"aeronautica militare|id-2024676-3-stormo-fornitura-di-strumentazione-gps-lidar-uav-e-ugv|https://www.aeronautica.difesa.it/tender/id-2024676-3-stormo-fornitura-di-strumentazione-gps-lidar-uav-e-ugv/|id 2024676- 3 stormo- fornitura di strumentazione gps, lidar, uav e ugv per capacità spms per aerofotogrammetria",Aeronautica Militare,Aeronautica Militare,Aeronautica Militare procurement,,id-2024676-3-stormo-fornitura-di-strumentazione-gps-lidar-uav-e-ugv,"ID 2024676- 3 STORMO- fornitura di Strumentazione GPS, Lidar, UAV e UGV per Capacità SPMS per Aerofotogrammetria",Procurement,https://www.aeronautica.difesa.it/tender/id-2024676-3-stormo-fornitura-di-strumentazione-gps-lidar-uav-e-ugv/,,,2026-09-02,2026-09-02,2026-09-02,1,no,Check source,BLUE - check source/no deadline,,20,"aerofotogrammetria, fornitura, lidar, security, uav, ugv","ID 2024676- 3 STORMO- fornitura di Strumentazione GPS, Lidar, UAV e UGV per Capacità SPMS per Aerofotogrammetria - Aeronautica Militare Vai al contenuto IT IT EN × Versioni documenti precedenti OGGETTO ID 2024676- 3 STORMO- fornitura di Strumentazione GPS, Lidar, UAV e UGV per Capacità SPMS per Aerofotogrammetria Identificativo gara/CIG: Data inserimento gara: 18/08/2026 Ente: DIREZIONE DI INTENDENZA (GUIDONIA - RM) Link BDNCP: https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig= Aggiornamento al: Data di scadenza: ID 2024676- 3 STORMO- fornitura di Strumentazione GPS, Lidar, UAV e UGV per Capacità SPMS per Aerofotogrammetria PUBBLICAZIONE Nessun dato disponibile AFFIDAMENTO"
"aeronautica militare|id-2024676-3-stormo-fornitura-di-strumentazione-gps-lidar-uav-e-ugv|https://www.aeronautica.difesa.it/tender/id-2024676-3-stormo-fornitura-di-strumentazione-gps-lidar-uav-e-ugv/|id 2024676- 3 stormo- fornitura di strumentazione gps, lidar, uav e ugv per capacità spms per aerofotogrammetria - aeronautica militare",Aeronautica Militare,Aeronautica Militare,Aeronautica Militare procurement,,id-2024676-3-stormo-fornitura-di-strumentazione-gps-lidar-uav-e-ugv,"ID 2024676- 3 STORMO- fornitura di Strumentazione GPS, Lidar, UAV e UGV per Capacità SPMS per Aerofotogrammetria - Aeronautica Militare",Procurement,https://www.aeronautica.difesa.it/tender/id-2024676-3-stormo-fornitura-di-strumentazione-gps-lidar-uav-e-ugv/,,,2026-09-01,2026-09-02,2026-09-01;2026-09-02,2,no,Check source,BLUE - check source/no deadline,,20,"aerofotogrammetria, fornitura, lidar, security, uav, ugv","ID 2024676- 3 STORMO- fornitura di Strumentazione GPS, Lidar, UAV e UGV per Capacità SPMS per Aerofotogrammetria - Aeronautica Militare Vai al contenuto IT IT EN × Versioni documenti precedenti OGGETTO ID 2024676- 3 STORMO- fornitura di Strumentazione GPS, Lidar, UAV e UGV per Capacità SPMS per Aerofotogrammetria Identificativo gara/CIG: Data inserimento gara: 18/08/2026 Ente: DIREZIONE DI INTENDENZA (GUIDONIA - RM) Link BDNCP: https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig= Aggiornamento al: Data di scadenza: ID 2024676- 3 STORMO- fornitura di Strumentazione GPS, Lidar, UAV e UGV per Capacità SPMS per Aerofotogrammetria PUBBLICAZIONE Nessun dato disponibile AFFIDAMENTO"
aeronautica militare|acquisizione-servizio-di-connettivita-internet-per-esigenza-del-centro-space-situational-awareness|https://www.aeronautica.difesa.it/tender/acquisizione-servizio-di-connettivita-internet-per-esigenza-del-centro-space-situational-awareness/|id 231 acquisizione servizio di connettivita’ internet per esigenza del centro space situational awareness,Aeronautica Militare,Aeronautica Militare,Aeronautica Militare procurement,,acquisizione-servizio-di-connettivita-internet-per-esigenza-del-centro-space-situational-awareness,ID 231 ACQUISIZIONE SERVIZIO DI CONNETTIVITA’ INTERNET PER ESIGENZA DEL CENTRO SPACE SITUATIONAL AWARENESS,Procurement,https://www.aeronautica.difesa.it/tender/acquisizione-servizio-di-connettivita-internet-per-esigenza-del-centro-space-situational-awareness/,,,2026-09-01,2026-09-02,2026-09-01;2026-09-02,2,no,Check source,BLUE - check source/no deadline,,4,"acquisizione, space situational awareness","t;archive_cards_columns_mobile"":""1"",""archive_cards_row_gap_widescreen"":{""unit"":""px"",""size"":"""",""sizes"":[]},""archive_cards_row_gap_tablet"":{""unit"":""px"",""size"":"""",""sizes"":[]},""archive_cards_row_gap_mobile"":{""unit"":""px"",""size"":"""",""sizes"":[]}}"" data-widget_type=""archive-posts.archive_cards""> ID 231 ACQUISIZIONE SERVIZIO DI CONNETTIVITA’ INTERNET PER ESIGENZA DEL CENTRO SPACE SITUATIONAL AWARENESS Leggi Tutto » 17 Giugno 2026 Licenza software Ansys System Tool Kit (STK) Premium Space e Ansys Orbit Determination Tool Kit (ODT"
aeronautica militare|supporto-industriale-alla-capacita-di-space-situational-awareness-biennio-2025-2026-decisione-di-contrarre-con-la-leonardo-s-p-a|https://www.aeronautica.difesa.it/tender/supporto-industriale-alla-capacita-di-space-situational-awareness-biennio-2025-2026-decisione-di-contrarre-con-la-leonardo-s-p-a/|id-10 supporto industriale alla capacità di space situational awareness biennio 2025-2026. leonardo s.p.a.,Aeronautica Militare,Aeronautica Militare,Aeronautica Militare procurement,,supporto-industriale-alla-capacita-di-space-situational-awareness-biennio-2025-2026-decisione-di-contrarre-con-la-leonardo-s-p-a,ID-10 Supporto industriale alla capacità di Space Situational Awareness biennio 2025-2026. LEONARDO S.p.A.,Procurement,https://www.aeronautica.difesa.it/tender/supporto-industriale-alla-capacita-di-space-situational-awareness-biennio-2025-2026-decisione-di-contrarre-con-la-leonardo-s-p-a/,,,2026-09-01,2026-09-02,2026-09-01;2026-09-02,2,no,Check source,BLUE - check source/no deadline,,3,space situational awareness,"> Leggi Tutto » 29 Novembre 2024 ID-10 Supporto industriale alla capacità di Space Situational Awareness biennio 2025-2026. LEONARDO S.p.A. Leggi Tutto » 22 Ottobre 2024 <img loading=""lazy"" width=""768"" height=""484"" src=""https://www.aeronautica.difesa.it/wp-content/uploads"
aeronautica militare|licenza-software-ansys-system-tool-kit-stk-premium-space-e-ansys-orbit-determination-tool-kit-odtk-in-formula-di-leasing-annuale-per-le-esigenze-del-comando-operazioni-speciali-centro-space-situ|https://www.aeronautica.difesa.it/tender/licenza-software-ansys-system-tool-kit-stk-premium-space-e-ansys-orbit-determination-tool-kit-odtk-in-formula-di-leasing-annuale-per-le-esigenze-del-comando-operazioni-speciali-centro-space-situ/|licenza software ansys system tool kit (stk) premium space e ansys orbit determination tool kit (odtk) in formula di leasing annuale per le esigenze del comando operazioni speciali – centro space situational awareness di poggio renatico (fe),Aeronautica Militare,Aeronautica Militare,Aeronautica Militare procurement,,licenza-software-ansys-system-tool-kit-stk-premium-space-e-ansys-orbit-determination-tool-kit-odtk-in-formula-di-leasing-annuale-per-le-esigenze-del-comando-operazioni-speciali-centro-space-situ,Licenza software Ansys System Tool Kit (STK) Premium Space e Ansys Orbit Determination Tool Kit (ODTK) in formula di leasing annuale per le esigenze del Comando Operazioni Speciali – Centro Space Situational Awareness di Poggio Renatico (FE),Procurement,https://www.aeronautica.difesa.it/tender/licenza-software-ansys-system-tool-kit-stk-premium-space-e-ansys-orbit-determination-tool-kit-odtk-in-formula-di-leasing-annuale-per-le-esigenze-del-comando-operazioni-speciali-centro-space-situ/,,,2026-09-01,2026-09-02,2026-09-01;2026-09-02,2,no,Check source,BLUE - check source/no deadline,,3,space situational awareness,CQUISIZIONE SERVIZIO DI CONNETTIVITA’ INTERNET PER ESIGENZA DEL CENTRO SPACE SITUATIONAL AWARENESS Leggi Tutto » 17 Giugno 2026 Licenza software Ansys System Tool Kit (STK) Premium Space e Ansys Orbit Determination Tool Kit (ODTK) in formula di leasing annuale per le esigenze del Comando Operazioni Speciali – Centro Space Situational Awareness di Poggio Renatico (FE) Leggi Tutto » 8 Giugno 2026 <div cla
aeronautica militare|pisq-perdasdefogu-servizio-di-direzione-lavori-per-lintervento-di-sistema-ssa-space-situational-awareness-realizzazione-di-opere-di-ingegneria-civile-per-impianto-radar|https://www.aeronautica.difesa.it/tender/pisq-perdasdefogu-servizio-di-direzione-lavori-per-lintervento-di-sistema-ssa-space-situational-awareness-realizzazione-di-opere-di-ingegneria-civile-per-impianto-radar/|pisq- perdasdefogu – procedura p004/2026 - servizio di direzione lavori per l’intervento di sistema ssa (space situational awareness),Aeronautica Militare,Aeronautica Militare,Aeronautica Militare procurement,,pisq-perdasdefogu-servizio-di-direzione-lavori-per-lintervento-di-sistema-ssa-space-situational-awareness-realizzazione-di-opere-di-ingegneria-civile-per-impianto-radar,PISQ- PERDASDEFOGU – Procedura P004/2026 - Servizio di Direzione Lavori per l’intervento di Sistema SSA (Space Situational Awareness),Procurement,https://www.aeronautica.difesa.it/tender/pisq-perdasdefogu-servizio-di-direzione-lavori-per-lintervento-di-sistema-ssa-space-situational-awareness-realizzazione-di-opere-di-ingegneria-civile-per-impianto-radar/,,,2026-09-02,2026-09-02,2026-09-02,1,no,Check source,BLUE - check source/no deadline,,6,"security, space situational awareness, ssa",PISQ- PERDASDEFOGU – Procedura P004/2026 - Servizio di Direzione Lavori per l’intervento di Sistema SSA (Space Situational Awareness) - Aeronautica Militare Vai al contenuto IT IT EN × Versioni documenti precedenti OGGETTO PISQ- PERDASDEFOGU – Procedura P004/2026 - Servizio di Direzione Lavori per l’intervento di Sistema SSA (Space Situational Awareness) Identificativo gara/CIG: BBB31D1722 Data inserimento gara: 20/05/2026 Ente: 2° REPARTO GENIO A.M. (CIAMPINO - RM) Link BDNCP: https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=BBB31D1722 Aggiornamento al: 14/07/2026 Data di scadenza: PUBBLICAZIONE Delibera a contrarre Disciplinare di gara Capitolato speciale Determina di r
aeronautica militare|pisq-perdasdefogu-servizio-di-direzione-lavori-per-lintervento-di-sistema-ssa-space-situational-awareness-realizzazione-di-opere-di-ingegneria-civile-per-impianto-radar|https://www.aeronautica.difesa.it/tender/pisq-perdasdefogu-servizio-di-direzione-lavori-per-lintervento-di-sistema-ssa-space-situational-awareness-realizzazione-di-opere-di-ingegneria-civile-per-impianto-radar/|pisq- perdasdefogu – procedura p004/2026 - servizio di direzione lavori per l’intervento di sistema ssa (space situational awareness) - aeronautica militare,Aeronautica Militare,Aeronautica Militare,Aeronautica Militare procurement,,pisq-perdasdefogu-servizio-di-direzione-lavori-per-lintervento-di-sistema-ssa-space-situational-awareness-realizzazione-di-opere-di-ingegneria-civile-per-impianto-radar,PISQ- PERDASDEFOGU – Procedura P004/2026 - Servizio di Direzione Lavori per l’intervento di Sistema SSA (Space Situational Awareness) - Aeronautica Militare,Procurement,https://www.aeronautica.difesa.it/tender/pisq-perdasdefogu-servizio-di-direzione-lavori-per-lintervento-di-sistema-ssa-space-situational-awareness-realizzazione-di-opere-di-ingegneria-civile-per-impianto-radar/,,,2026-09-01,2026-09-02,2026-09-01;2026-09-02,2,no,Check source,BLUE - check source/no deadline,,6,"security, space situational awareness, ssa",PISQ- PERDASDEFOGU – Procedura P004/2026 - Servizio di Direzione Lavori per l’intervento di Sistema SSA (Space Situational Awareness) - Aeronautica Militare Vai al contenuto IT IT EN × Versioni documenti precedenti OGGETTO PISQ- PERDASDEFOGU – Procedura P004/2026 - Servizio di Direzione Lavori per l’intervento di Sistema SSA (Space Situational Awareness) Identificativo gara/CIG: BBB31D1722 Data inserimento gara: 20/05/2026 Ente: 2° REPARTO GENIO A.M. (CIAMPINO - RM) Link BDNCP: https://dati.anticorruzione.it/superset/dashboard/dettaglio_cig/?cig=BBB31D1722 Aggiornamento al: 14/07/2026 Data di scadenza: PUBBLICAZIONE Delibera a contrarre Disciplinare di gara Capitolato speciale Determina di r
aeronautica militare|pulizia-scale-e-androni-presso-il-comprensorio-vmf-e-villaggio-azzurro|https://www.aeronautica.difesa.it/tender/pulizia-scale-e-androni-presso-il-comprensorio-vmf-e-villaggio-azzurro/|pulizia scale e androni presso il comprensorio vmf e villaggio azzurro,Aeronautica Militare,Aeronautica Militare,Aeronautica Militare procurement,,pulizia-scale-e-androni-presso-il-comprensorio-vmf-e-villaggio-azzurro,Pulizia scale e androni presso il Comprensorio VMF e Villaggio Azzurro,Procurement,https://www.aeronautica.difesa.it/tender/pulizia-scale-e-androni-presso-il-comprensorio-vmf-e-villaggio-azzurro/,,,2026-09-01,2026-09-01,2026-09-01,1,no,Check source,BLUE - check source/no deadline,,5,"droni, image","droni-presso-alloggi-demaniali-vmf-e-villaggio-azzurro/"" > Servizio di pulizia scale e androni presso alloggi demaniali VMF e Villaggio Azzurro Leggi Tutto » 7 Luglio 2025 Pulizia scale e androni presso il Comprensorio VMF e Villaggio Azzurro Leggi Tutto » 4 Luglio 2025 <img loading=""lazy"" width=""768"" height=""1024"" src=""https://www.aeronautica.difesa.it/wp-content/uploads/2024/04/Foto-1-768x1024.jpg"" class=""attachment-medium_large size-medium_large wp-image-1"
