Urgency,Days,TA,ID,Title,Status,Type,Opened,Deadline,Clarification,Score,Matched Terms,Theme,ESA-star
ORANGE - due <=14 days,11,1-13612,190126,E4EX-022 LASER COMPONENT OF A DOPPLER LIDAR FOR MARTIAN WINDS - EXPRO+,Issued,Open Competition,2026-07-15T08:59:28,2026-09-11T13:00:00,2026-09-04T13:00:00,1,river,"This activity is to perform trade-offs and a risk-reduction design study for the laser component of a Doppler LIDAR for measuring, from a spacecraft in Mars orbit (via laser light scattered by atmospheric particles) the winds in the martian atmosphere. The main driver for this search is Signal-to-Noise Ratio of the returned signal and the consequent needs in terms of total optical output power (in the order of tens of mJ per pulse for each wavelength), shared between 1064 nm and 532 nm from the transmitting laser. Secondly, such a laser must be compact and designed for long-duration, high-duty cycle operation. The activity shall target TRL 3.",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/190126
ORANGE - due <=14 days,11,1-13431,185679,EFC3 - WORK ORDER - PLANETARY SCIENCE OPERATIONS PLANNING AND SCIENCE DATA ASSESSMENT SUPPORT SERVICE 3-SCI-SCO-1-002,Issued,Open Competition,2026-06-11T14:20:02,2026-09-11T13:00:00,2026-08-28T13:00:00,1,validation,"The SCO 1 002 service implements all SOC uplink activities, covering the full operational chain from high level scientific requirements to the preparation and validation of operational files ready for uplink by the Mission Operations Centre to the spacecraft.",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/185679
ORANGE - due <=14 days,11,1-13473,185970,EFC3 - WORK ORDER - SCIENCE AND DATA PROCESSING SUPPORT SERVICE 3-SCI-SCO-1-001,Issued,Open Competition,2026-06-11T14:49:58,2026-09-11T13:00:00,2026-08-28T13:00:00,1,processing,"The SCO 1 001 service supports the scientific community by managing proposal submission, science planning, delivery of validated data via mission archives, user support (helpdesk, web, documentation), and mission communication and outreach activities.",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/185970
AMBER - due <=30 days,18,1-13529,187386,AI-POWERED AUTONOMOUS SATELLITES FOR THREAT DETECTION AND MITIGATION (ARTES 4.0 SPL 4S 3D.038) - EXPRO+,Issued,Open Competition,2026-07-06T15:17:14,2026-09-18T13:00:00,2026-09-04T13:00:00,8,"ai, autonomous, edge, satellite, validation","Objective: The objective is to develop and validate an AI-powered autonomous satellite system capable of real-time threat detectionand mitigation targeting LEO constellations. This will reducereliance on ground-based monitoring and improve resilience in satellite operations.TargetedImprovements: - 50% improvement in real-time threat detection latency / delay over ground-based solutions.-60% reduction in response time using AI-initiated autonomous countermeasures.- Development of a simulator for cyber, RF and physical attacks, enabling validation of AI-based countermeasure/mitigation solutionsintroducing a novel capability in ESA MS.Description: Current satellite security solutions depend on ",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/187386
AMBER - due <=30 days,24,1-13513,187384,5G DISTRIBUTED UNIT PROCESSOR AND ASSOCIATED NON-TERRESTRIAL NETWORK G-NODEB SOFTWARE (ARTES 4.0 SPL 5G/6G 5A.099) - EXPRO+,Issued,Open Competition,2026-06-12T15:26:16,2026-09-24T13:00:00,2026-09-10T13:00:00,8,"on-board, onboard, processing, quality, satellite, validation","Objective: The objective of the activity is to design, manufacture, and test a processor breadboard and associated software implementing a distributed unit (DU) onboard a satellite. TheDU will implement Radio Link Control (RLC) and Medium Access Control (MAC) functions, optimized for Non-Terrestrial Network (NTN), to address processing, memory andpower constraints, as well as service needs in terms of cells and user numbers The feasibility and implementation of control unit (CU) functions on the 5G g-NodeB (gNB)should be addressed by the activity depending on the selected 5G system split and targeted system capacityTargetedImprovements: - Increase the DU throughput by a factor of 10 with res",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/187384
AMBER - due <=30 days,30,1-13494,187358,AI DIGITAL PAYLOAD TECHNOLOGIES PNT DEMONSTRATOR PHASES 0/A/B1,Issued,Open Competition,2026-05-27T14:30:48,2026-09-30T13:00:00,2026-09-20T13:00:00,6,"ai, onboard, processing, validation","This activity aims to prepare a future in-orbit demonstrator of resilient PNT payload technologies based on digital and AI-enabled architectures. The study will investigate reconfigurable, software-defined payloads capable of characterizing and adapting to dynamic, congested or impaired RF environments.The activity will address the full signal chain, from generation to transmission, including onboard processing and AI-based techniques. A digital twin environment is also foreseen to be developed to support validation andperformance assessment.The objective is to mature concept and associated key payload technologies up to TRL 5/6 and deliver a credible, flight-representative architecture for ",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/187358
AMBER - due <=30 days,18,1-13467,186387,FUTURE EARTH OBSERVATION ARCHITECTURE FOR AI (ARCH-AI): NUMERICAL WEATHER PREDICTION (NWP) AND NUMERICAL OCEAN PREDICTION (NOP) - EXPRO PLUS,Issued,Open Competition,2026-06-24T14:59:11,2026-09-18T13:00:00,2026-09-11T13:00:00,5,"ai, earth observation, eo","ARCH-AI addresses the rapid transition of numerical weather prediction (NWP), ocean prediction (NOP), and climate forecasting toward AI/ML-driven approaches. These methods enable faster forecasts, larger ensembles, and new probabilistic capabilities, but they fundamentally change what is required from Earth Observation.The key shift is from EO as an observational system to EO as an integralcomponent of predictive systems. This means observations are no longer just inputs; they must be optimised for AI training, inference, and continuous model evolution.Current European EO systems are strong but not designed for this paradigm. The ARCH-AI studies examines how the entire EO system-of-systems (",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/186387
AMBER - due <=30 days,18,1-13468,187965,H2.2/2022/005 - S5P-FRM4DOAS CENTRAL PROCESSING,Issued,Open Competition,2026-07-17T11:03:57,2026-09-18T13:00:00,2026-09-04T13:00:00,5,"processing, quality, remote sensing, satellite, validation","MAX-DOAS spectrometers are ground-based remote sensing instruments operating in the UV-visible spectral range and widely used for air quality observations.Through dedicated ESA activities, MAX-DOAS has been incorporated into the Fiducial Reference Measurements (FRM) framework, with the aim of harmonising instrumentation and data processing. This has led to the definition of best practices for instrument operation and the development of a prototype centralised processing system capable of delivering near-real-time data. This system was successfully demonstrated in the FRM4DOAS project.For routine satellite validation, such as for Sentinel-5 Precursor, timely and operational access to high-qua",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/187965
AMBER - due <=30 days,22,1-13451,185941,EFFECTS OF THE SPATIO-TEMPORALLY VARYING ATMOSPHERE ON SAR IMAGING: THE IONOSPHERE CASE - EXPRO PLUS,Issued,Open Competition,2026-07-20T14:49:21,2026-09-22T13:00:00,2026-09-15T13:00:00,5,"image, imaging, quality, sar, validation","To derive more accurate expression of atmosphere irregularities effects with a focus on the ionosphere, and devise mitigation techniques for both geo- and sun-synchronous SAR imaging systemsDescription: For Low Earth Orbit (LEO) Synthetic Aperture Radar (SAR) systems the atmospheric turbulence is generally assumed to be time-invariant during the synthetic aperture time due to itsshort duration. Such assumption is not always correct, as horizontal atmospheric drifts and vortices exist. Especially for SAR systems at low frequency (P-Band, L-Band), SAR operating on repeat-track basis, geo-synchronous SAR systems characterised by long integration time and extensive imaging scene, the ionosphere ",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/185941
AMBER - due <=30 days,23,1-13448,193160,S3-CL-06 SECURE AUTONOMOUS DISPOSAL INTERFACE SAFETY MODULE - REISSUED,Issued,Open Competition,2026-08-10T14:54:14,2026-09-23T13:00:00,2026-09-09T13:00:00,5,"autonomous, on-board, satellite","The increase in small satellite missions has intensified the need for compliance to international space debris de-orbiting requirements. To meet these requirements CubeSat-class missions frequently rely on their primary On-Board Computer (OBC) and Electrical Power Subsystem (EPS) to activate disposal mechanisms, however deployment and late-mission failures; such as battery degradation, bus freeze, or cyber compromise; can prevent successful disposal execution.This activity addresses this gap through the development of the Secure Autonomous Disposal Interface and Safety Module: a standardised, independent Disposal Trigger Module (DTM) compatible withCubeSat buses from 1U to 16U across a varie",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/193160
