Urgency,Days,TA,ID,Title,Status,Type,Opened,Deadline,Clarification,Score,Matched Terms,Theme,ESA-star
AMBER - due <=30 days,21,1-13592,190757,S3-CL-15 ECOSTAR-S CONSOLIDATION PHASE - EXPRO+,Issued,Open Competition,2026-07-20T11:19:48,2026-09-21T13:00:00,2026-09-14T13:00:00,2,"river, satellite","This activity addresses the evolution of small satellite platforms toward sustainable space operations, in line with ESA's Zero Debris objectives and Ecodesign policy. It aims to consolidate system-level requirements for the next generation small satellite platform, integrating space debris mitigation constraints and environmental sustainability considerations across the full life cycle. Building on previous ESA and industry studies, the activity will identify key design drivers, perform trade-offs, and define a baseline platform concept up to System Requirements Review (SRR) level. It will also assess enabling technologies, engage with European suppliers, and establish a roadmap toward plat",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/190757
AMBER - due <=30 days,30,1-13554,187953,ECODESIGN HARNESS FOR SPACE APPLICATIONS -EXPRO+,Issued,Open Competition,2026-08-18T11:10:07,2026-09-30T13:00:00,2026-09-23T13:00:00,2,"satellite, validation","Objective: To design and assess the life cycle of an optimised harness including cables, connectors, and back-shell components, allmanufactured using eco-friendly processes and alternative materials.Description: Spacecraft harnesses are essential for power distribution, data transmission, and signal integrity within satellites and other spacecraft systems. However, conventional harness designs rely on materials and manufacturing techniques that have a significant environmental impact, such as PTFE (Polytetrafluoroethylene)-based insulation, gold and nickel plating, and energy-intensive production processes. The ecodesign harness initiative focuses on the development of a sustainable harness ",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/187953
AMBER - due <=30 days,30,1-13667,193154,S3-CL-12 SYSTEM STUDY ON USING OF AUTONOMOUS PLATFORM FOR IN-SITU MONITORING AND MEASUREMENT IN THE STRATOSPHERE - EXPRO+,Issued,Open Competition,2026-08-17T15:28:14,2026-09-30T13:00:00,2026-09-23T13:00:00,2,autonomous,System study on using of autonomous platform for in-situ monitoring and measurement in the stratosphere to understand effects of space activities (launch and re-entry) on the atmosphere.,https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/193154
AMBER - due <=30 days,17,1-13603,190759,PROCUREMENT OF SPACE RIDER SANTA MARIA LANDING SITE PRIMARY RADAR (EXPRO+),Issued,Open Competition,2026-07-14T09:45:24,2026-09-17T13:00:00,2026-09-10T13:00:00,1,validation,"The activities will be performed in parallel with the Space Rider Programme Phase D.The scope of the procurement is to cover the activities related to the design, validation, installation, and operational support of a primary radar at the Landing Site in Santa Maria, Portugal.The system will be required to track Space Rider during the final part of its re-entry in order to verify that the descent trajectory is safe and nominal and, in case of anomalies, to support intervention actions aimed at neutralizing the spacecraft, thereby avoiding injuries to people and/or damage to property in the vicinity of the landing site.",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/190759
AMBER - due <=30 days,18,1-13202,187963,5G SPACE USER TERMINAL (ARTES 4.0 SPL 5G/6G 7A.080) - EXPRO+ - RE-ISSUE,Issued,Open Competition,2026-06-19T10:50:32,2026-09-18T13:00:00,2026-09-04T13:00:00,1,satellite,"The frontiers for the deployment of 5G cellular networks have grown beyond the limits of the Earth's atmosphere. The 3GPP cellular technologies have become attractive for exploration missions, such as Moon or Mars, as they can provide a standardised scalable, secure, high-capacity, and reliable connectivity. For Moon, the Space Frequency Coordination Group (SFCG) has recently identified several bands for Lunar missions for the deployment of existing Earth communication protocols that includes the cellular element. In parallel to the connectivity, 5G networks can also be used to enhance the performance of navigation services fores een in LunaNet.The communication services will be primarily de",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/187963
AMBER - due <=30 days,18,1-13569,190124,IHE1-2 SMALLSAT PROJECT 2026,Issued,Open Competition,2026-07-08T11:43:39,2026-09-18T13:00:00,2026-09-08T13:00:00,1,validation,"One of the main objectives of the Space strategy for Europe is to foster a globally competitive and innovative European space sector, in particular by improving support to technological maturation for sub-systems, equipment and technologies, including in-orbit demonstration and validation activities, to reduce time to market.To ensure the European Union non-dependence and competitiveness in technologies, there is a clear need for a regular, sustainable, cost-effective and responsive In Orbit Demonstration/Validation (IOD/IOV) service in the European Union. Space flight heritage in real conditions and environment is often required to de-risk innovations such as new technologies, products, con",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/190124
AMBER - due <=30 days,18,1-12996,192073,IN-ORBIT SECURE TELECOM LABORATORY (ARTES 4.0 SPL 4S 3E.031) - RE-ISSUE,Issued,Open Competition,2026-07-21T18:17:47,2026-09-18T13:00:00,2026-09-04T13:00:00,1,satellite,"Objective: The objective of the activity is to develop and deploy an advanced in-orbit laboratory infrastructure based on a LEO cubesat to test, assess and demonstrate in real space conditions innovative secure communications and security technologies needed to increase resilience and robustness of novel satellite telecommunication systems, as well as to measure the impact of space environment on them.Targeted Improvements:Enabling new security capabilities and technologies for future secure satellite communications, including novel, quantum resistant cryptographic technologies for networking protocols suitable for satellite communications, through in-orbit demonstration capabilities.Deliver",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/192073
AMBER - due <=30 days,18,1-13619,190392,LUNAR LINK REPURPOSING MISSION - PHASE 1 STUDY,Issued,Open Competition,2026-07-27T16:56:33,2026-09-18T13:00:00,2026-09-04T13:00:00,1,satellite,"This Phase 1 study focuses on the definition of a mission for the implementation of a communicationasset in cislunar orbit, to serve ESA's users needs as well as other IPs request, in complement andas precursor of Moonlight and building on the flight readiness of the Gateway Halo LunarCommunication System (HLCS), also known as Lunar Link.The study will assess adapting an existing/ recurrent or readily available satellite platform toaccommodate the Lunar Link and aims at identifying the possibility of accommodating one or morepayloads of opportunity, as secondary mission objective, depending on remaining available satelliteresources.",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/190392
AMBER - due <=30 days,22,1-13535,187338,DETECTOR ARRAY FOR LOW PHOTON APPLICATIONS IN THE 6-10 UM WAVELENGTH RANGE - EXPRO+,Issued,Open Competition,2026-07-06T15:35:05,2026-09-22T13:00:00,2026-09-15T13:00:00,1,quality,Objective: To manufacture a detector with sensitivity up to 10 um wavelength and perform its detailed performance assessment at operating temperatures down to 40 K.Description: The Near Earth Object Mission in the Infra-Red (NEOMIR hereafter) aims to overcome most of the issues encountered previously with respect to NEO (Near Earth Object) detection by regularly scanning an area not accessible by ground or other space-based NEO surveys. NEOMIR will be capable of detecting and characterizing new NEOs and - in the worst case of an imminent impactor - serve as an early warning system. The noise contribution from the detector and instrument on NEOMIR must be minimised to ensure the signal from s,https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/187338
AMBER - due <=30 days,23,1-13505,187347,NAVISP-EL1-126-APPROXIMATE COMPUTING FOR LOW-POWER GNSS SIGNAL PROCESSING - EXPRO+,Issued,Open Competition,2026-07-03T12:07:43,2026-09-23T13:00:00,2026-09-16T13:00:00,1,processing,"General DescriptionThis activity explores the application of Approximate Computing (AxC) techniques to GNSS signal processing for reducing power consumption while maintaining acceptable accuracy. It focuses on implementing AxC in acquisition, tracking, and PVT stages of GNSS receivers. The study will identify suitable AxC methods, develop a prototype receiver supporting both exact and approximate modes, and evaluate performance in terms of power efficiency, accuracy, and correlation degradation. Test campaigns will use live and replayed GNSS data from various environments to validate the concept. For more info, visit https://navisp.esa.int/opportunity",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/187347
AMBER - due <=30 days,23,1-13493,187355,"SECURITY AWARE POSITION, VELOCITY AND TIME INTEGRITY CONCEPT - EXPRO+",Issued,Open Competition,2026-07-08T08:58:47,2026-09-23T13:00:00,2026-09-16T13:00:00,1,satellite,"ObjectivesTo develop an integrity concept leveraging Position, Velocity and Time (PVT) assurance solutions for safety critical applications.DescriptionSafety critical applications rely on integrity concepts based on protection levels and alerting schemes to bound the position error in nominal and failure scenarios under a given integrity risk. This allows estimating the worst-case user position systematically taking into account potential feared events. Similar integrity concepts and list of feared events can be developed considering the potential presence of intentional GNSS signal impairments.The Global Navigation Satellite System (GNSS) providers are implementing mechanism in order to pro",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/187355
AMBER - due <=30 days,25,1-13527,187383,DUAL-ACTIVE 5G NON-TERRESTRIAL NETWORK MODEM WITH SMART RESOURCE MANAGEMENT (ARTES 4.0 SPL 5G/6G 7A.089) - EXPRO+,Issued,Open Competition,2026-06-09T17:28:41,2026-09-25T13:00:00,2026-09-11T13:00:00,1,satellite,"Objective: The objective of the activity is to develop and test a 5G NTN dual active modem prototype with active resource management for improving link reliability and performance, whileoptimizing the space segment resources utilization.TargetedImprovements:-doubling the peak data rate compared to state of art modems.- reduction by half link outage time.Description: The need for a dual-active modem in 5G Non-Terrestrial Networks (NTN) arises from the growing demand for reliable, high-performance communication links particularly inscenarios where terrestrial networks are unavailable or unreliable. A dual-active NTN modem can maintain two simultaneous satellite links, significantly reducing th",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/187383
AMBER - due <=30 days,25,1-13578,189172,NAVISP EL1-120 RESILIENT PNT CRITICAL NATIONAL INFRASTRUCTURE VALIDATION TEST BENCH - EXPRO+,Issued,Open Competition,2026-07-29T16:40:25,2026-09-25T13:00:00,2026-09-18T13:00:00,1,validation,"This activity aims to develop a validation test bench for assessing resilience of PNT systems integrated into Critical National Infrastructure (CNI). It will survey typical CNIs and define use cases involving GNSS-based timing and positioning. The test bench willinject signal impairments, including jamming and spoofing, and measure performance impacts. Additional outputs include a machine-learning training database for interference detection, independent FTA/FMECA analyses, and a searchable Lessons Learned database. The goal is to enable CNI operators to prepare for, act during, and recover from PNT disruptions. For more info, visit https://navisp.esa.int/opportunity",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/189172
AMBER - due <=30 days,25,1-13572,189187,RESILIENT COMMUNICATION SYSTEM IN NON-GEOSTATIONARY HIGH-ALTITUDE INCLINED ELLIPTICAL ORBITS (ARTES 4.0 SPL 4S 3A.230) - EXPRO+ (ON DELEGATION REQUEST),Issued,Open Competition,2026-07-17T15:59:04,2026-09-25T13:00:00,2026-09-11T13:00:00,1,satellite,"The objective of this activity is to define the system requirements and the preliminary concept of a resilient communication systemoperating in non-geostationary high-altitude ellipticalorbits.TargetedImprovements: Enabling the development of high altitude inclined elliptical orbits satellite communications systems in ESA Member States for providing resilient communications.Description: Satcom satellites typically fly in Low Earth Orbit (LEO), Medium Earth Orbit (MEO), or Geostationary Orbit (GEO). However, high-altitude elliptical orbits (HEO) offer special features ofinterest to resilient and secure satcom systems. This includes in particular coverage of Europe and polar regions thanks to ",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/189187
GREEN - due >30 days,36,1-13525,187359,SUSTAINABLE WATER RESOURCES AND WETLAND ECOSYSTEMS MANAGEMENT - EXPRO+,Issued,Open Competition,2026-07-03T14:17:36,2026-10-06T13:00:00,2026-09-29T13:00:00,17,"drought, eo, hydrology, inland water, pollution, quality, river, water, wetland","Single procurement with 4 separate and independent contracts to develop scalable EO-based solutions: River Connectivity: Monitorriver connectivity and flow alterations, quantify impacts on river hydrology and aquatic ecosystems, and identify restoration opportunities. Inland Water Pollution: EO-based detection-attribution framework to monitor freshwater quality and link water pollution to the sources and drivers of pollution across rivers and lakes. Drought Risk Monitoring: EO-based drought risk monitoring framework to detect, characterise, and track drought conditions across river basins, supporting climate-resilient water management. Essential Wetland Variables for Wetland Condition: EO-ba",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/187359
GREEN - due >30 days,44,1-13646,192139,EVALUATION OF FAULT MITIGATION TECHNIQUESFOR NEUROMORPHIC HARDWARE ACCELERATOR - EXPRO PLUS,Issued,Open Competition,2026-08-18T10:55:45,2026-10-14T13:00:00,2026-10-07T13:00:00,11,"ai, autonomous, drone, edge, processing, validation","Objective: To analyse the impacts of fault propagation in spiking neural networks (SNN), propose design mitigation techniques, identify relevant neuromorphic IPs and select a baseline concept for implementation.Description: Future missions, including planetary landing, planetary exploration, docking, debris removal, space situational awareness, in-orbit servicing, etc. will need increased autonomy to address latency issues. This autonomy will rely on AI-driven computer vision and advanced computing capabilities. However,traditional neural network inferences typically require hardware platforms such as FPGAs or GPUs, which may consume anywhere from afew tens of watts to 100 watts. This high-p",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/192139
GREEN - due >30 days,74,1-13287,185953,SENTINEL-2 NEXT GENERATION SATELLITE PHASES B2CDE1,Issued,Open Competition,2026-04-29T10:38:56,2026-11-13T13:00:00,2026-10-30T13:00:00,9,"forest, image, quality, satellite, swir, water","The Copernicus Sentinel-2 Next Generation space component, which is the subject of this procurement, will ensure a seamless continuation of the current Sentinel-2 first generation capabilities, whilst increasing both the quantity and quality of the products. The development of the Sentinel-2 Next Generation (Sentinel-2 NG) Space Component aims to build upon and enhance the initial observations provided by the first generation. In particular, Sentinel-2 NG (S2NG) will respond to the needs of Copernicus Services, with particular emphasis to the Land Monitoring Service (CLMS) and the Emergency Management Service (CEMS), together with, as secondary objective, the Marine Environment Monitoring Se",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/185953
GREEN - due >30 days,44,1-13517,187385,ONBOARD AUTOMATIC IDENTIFICATION SYSTEM SPOOFING DETECTION MODULE FOR LOW-LATENCY AND RELIABLE MARITIME SURVEILLANCE (ARTES 4.0 SPL 4S 5A.096) - EXPRO+,Issued,Open Competition,2026-07-01T11:50:50,2026-10-14T13:00:00,2026-09-30T13:00:00,8,"ai, onboard, processing, quality, satellite, validation","Objective: The objective is to design, develop and test an Automatic Identification System (AIS) spoofing detection system onboard the satellite for satellite-based maritime surveillance, offeringreliable AIS information with low-latency.TargetedImprovements: Reduce by half the latency of detection of non-reliable reporting vessels compared to current technologies. Decrease reliance on ground-based infrastructures by enabling onboarddetection of deceptive AIS signals.Description: With approximately 90% of international trade travelling by sea, maritime routes are becoming increasingly congested. A reliable maritime domain awareness is thus paramount toaddress critical security (e.g. submarin",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/187385
GREEN - due >30 days,37,1-13589,190754,OPEN RADIO ACCESS NETWORK FRAMEWORK FOR THE END-TO-END MANAGEMENT OF REGENERATIVE NON-TERRESTRIAL-NETWORK ACCESS NODES (ARTES 4.0 SPL 5G/6G 3F.039),Issued,Open Competition,2026-07-10T12:09:26,2026-10-07T13:00:00,2026-09-23T13:00:00,7,"ai, artificial intelligence, machine learning, quality, satellite","Objective: The objective of the activity is to enhance the existing Open Radio Access Network (ORAN) framework to support 5G/6G Non-Terrestrial-Network (NTN) payloads, while integrating the ORAN adaptations with conventional ground segment control centres.Targeted Improvements:1) Adapt the of Enhanced Open Radio Access Network (ORAN) interfaces to support Non-Terrestrial-Network (NTN) 5G/6G payload2) Improve the ORAN Transport network layer3) Enable the Integration of ORAN interfaces into the ground segment operations for system interoperability4) Enable new applications for NTN payloads.Description: Open Radio Access Network (ORAN) specifications are on the brink of reforming the 3GPP radio",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/190754
GREEN - due >30 days,38,1-13561,188558,SECURE ON-BOARD AND ACCESS CONTROL ROUTER FOR FUTURE SATELLITE COMMUNICATIONS SYSTEMS (ARTES 4.0 SPL 4S 5A.097) - EXPRO+,Issued,Open Competition,2026-07-23T09:22:38,2026-10-08T13:00:00,2026-09-24T13:00:00,7,"on-board, onboard, processing, satellite, validation","Objective: The objective of the activity is to develop an on-board router with secure tagging, access control and filtering capabilities suitable to route traffic from users with different securitypriorities (e.g. commercial, governmental, etc.) to support future LEO, MEO and multi-orbit satellite communications systems.TargetedImprovements: Enabling novel capability, not existing today inESA MS, which will allow to route securely user traffic with different security constraints in large satellite communicationsconstellations.Description: Due to the increasingly shared nature of satellite communication systems, specifically at the level of the payload and inter-satellite links, there is a ne",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/188558
GREEN - due >30 days,37,1-13583,189183,ADHA INSTRUMENT CONTROLLER UNIT (ICU) - EXPRO+,Issued,Open Competition,2026-08-04T11:20:55,2026-10-07T13:00:00,2026-09-30T13:00:00,5,"ai, processing, satellite, validation","Objective:To develop an ADHA-compliant Instrument Controller Unit (ICU) usable standalone or with standard ADHAhardware for Earth, exploration, science, and navigation missions.Description:The ADHA (Advanced Data Handling Architecture) is a collaboration between ESA, European satellite primesand data handling equipment suppliers. It includes the definition of an architecture for data handling unit basedon standard module functions. A standard module procurement flow has been defined -- as well as astandardized backplane connector and electrical interfaces. This allows independent development ofinteroperable modules that can be connected in ADHA units. This activity aims to develop an ADHA-co",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/189183
GREEN - due >30 days,39,1-13545,187367,STEPPING STONE MISSION DEFINITION STUDY,Issued,Open Competition,2026-07-21T11:08:36,2026-10-09T13:00:00,2026-09-25T13:00:00,5,"earth observation, eo, quality, validation","Stepping Stone Missions are a new class of user driven Earth Observation missions designed to address gaps in the current EO ecosystem by delivering quality certified data and services tailored to environmental policy needs at European and global level. They build on and complement existing reference missions and infrastructures, while targeting observation domains and sampling requirements not adequately covered today. A key characteristic is their service oriented and commercially minded nature: missions are conceived from the outset to enable operational services, foster downstream applications, and evolve into scalable, privately operated constellations once their performance and utility",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/187367
GREEN - due >30 days,31,1-13532,187330,AURION ADVANCING UNDERSTANDING THROUGH RESEARCH AND INDUSTRY-ORIENTED CO-DESIGN OF NEW MISSIONS - EXPRO PLUS,Issued,Open Competition,2026-07-02T16:54:58,2026-10-01T13:00:00,2026-09-17T13:00:00,4,"earth observation, processing, river","AURION aims to establish a structured pre-Phase-0 co-design environment in which scientific ambition and industrial feasibility aredeveloped concurrently to define credible, innovative Earth Observation mission concepts.The activity targets mission concepts at SRL =3 that have not previously been assessed within ESA, and enables their maturation through joint science-industry system-level design, including early assessment of technical feasibility, cost drivers, and programmatic viability.AURION studies are characterised by:Joint science-industry leadership (mandatory co-design) Concurrent SRL and TRL maturationFocus on novel mission concepts, not incremental extensions Early integration of ",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/187330
GREEN - due >30 days,1218,4-40047,186398,INCUBED CALL FOR PROPOSAL: STANDARD CALL FOR PROPOSALS,Issued,Call for Proposals,2026-06-16T14:03:35,2029-12-31T13:00:00,2029-12-17T13:00:00,3,"earth observation, eo","The InCubed Element of the European Earth Watch Programme (InCubed) aims to accompany European economic operators in the rapid evolution of the Earth Observation market, both in Europe and globally. InCubed introduces a dedicated process within ESA Earth Observation programmes to strengthen and stimulate the development of near-to-market commercial initiatives in partnership with industry. Activities supported under InCubed include the development and/or demonstration of space assets (e.g. missions, instruments, prototype elements of EO constellations), innovative mission management solutions (including for future EO constellations), as well as the development of ground, data, and applicatio",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/186398
GREEN - due >30 days,35,1-13543,187960,PRELIMINARY DESIGN OF A TEST FACILITY FOR IRIS2 GOVERNMENTAL USER TERMINALS PRE-CONFORMANCE - EXPRO+,Issued,Open Competition,2026-07-13T15:03:59,2026-10-05T13:00:00,2026-09-21T13:00:00,2,edge,"The objective of the activity is to perform the preliminary design (corresponding to Phase 0/A/B1) of a test facility able to perform pre-conformance testing and qualification of IRIS2 governmental User Terminals. The facility aims at addressing RF/modem conformance testing for IRIS2 regenerative and transparent modes. The scope of testing shall cover all required functions for IRIS2 type approval, such as compliance to the Air Interface, edge cases of multi-orbit handover, network entry, among others.",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/187960
GREEN - due >30 days,42,1-13668,193153,GT1I-805GA SECURITY FRAMEWORK FOR AI APPLICATIONS (EXPRO+),Issued,Open Competition,2026-08-25T11:59:06,2026-10-12T13:00:00,2026-10-05T13:00:00,2,ai,"Increasingly, advances in AI applications, models, and big data capabilities are making their way intoproductive applications. Roadmaps exist to introduce AI technologies into critical functional and operationaldomains. With new technology spin-ins like AI, cybersecurity must be accounted for, considering new attacksurfaces and vulnerabilities. Currently, no specialized approach exists forsystems with AI components,necessitating an ad-hoc approach for each system. To avoid redundant efforts, a coherent security approachfor AI applications in the space domain should be defined. Common mitigation measures for identified threatsand risks related to data and models need to be integrated into the",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/193153
GREEN - due >30 days,46,1-13574,189180,GT17-883GS ALL-DIGITAL GROUND STATION,Issued,Open Competition,2026-08-07T10:08:17,2026-10-16T13:00:00,2026-10-02T13:00:00,2,"processing, satellite","The signal processing approach of satellite ground station back-ends is undergoing a major conceptual changeworldwide: instead of processing the signal in the back-end in the classical way with a dedicated up-/ downlinkchain, there is the more flexible approachof sampling the signal directly before transmission / after reception. Thisstep also includes the up- and down-conversion. Thereafter the data is transferred via the network using theDigital Intermediate Frequency Interoperability (DIFI) protocol and processed on a Software Defined Radio (SDR)platform (instead of a classical modem). Commercialisation of this concept is on-going on both sides: the classicalmodem/back-end providers and t",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/189180
GREEN - due >30 days,52,1-12945,191340,LOW POWER KA-BAND DIRECT CONVERSION RECEIVER MODULE (ARTES AT 5C.525) - EXPRO+ (ON DELEGATION REQUEST),Issued,Open Competition,2026-08-05T18:31:17,2026-10-22T13:00:00,2026-10-08T13:00:00,2,"processing, satellite","The objective: The objective of the activity is to design, manufacture and test a 12bit direct conversion receiver module covering the full Ka-band with significant reduced power consumption in comparison to current state of the art.Targeted Improvements:- Enabling a European source of low power direct conversion Ka-band receivers.- Factor 5 reduction of power consumption compared to the State of the Art.Description: Today's flexible telecommunication satellites require receivers operating at higher frequencies and over a wider bandwidth than in the past, with a complex RF chain and lossyharnesses. A trend towards highly integrated solutions using direct sampling receivers compatible with So",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/191340
GREEN - due >30 days,37,1-13634,191342,HIGHLY ACCURATE RELIABLE AND PRECISE GNSS POSITIONING WITH QUANTUM OPTIMIZATION - EXPRO+,Issued,Open Competition,2026-08-04T09:24:36,2026-10-07T13:00:00,2026-09-30T13:00:00,1,processing,"ObjectivesDeriving algorithms and their optimal settings for enabling real-time highly accurate and reliable navigation based on GNSS carrier phase measurements exploiting quantum optimization algorithms.DescriptionHigh Accuracy with GNSS requires usage of phase measurements, which are ambiguous. Carrier phase Ambiguity Resolution (AR) is a stochastic process which requires a minimizationsearch for the correct ambiguities which can require a very large search to find the correct solution.In recent years, a series ofquantum algorithms for mathematical optimisation has been formulated which could be exploited to replace the classical approaches, such as those currently in use for GNSS AR. Quan",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/191342
GREEN - due >30 days,45,1-13640,191339,ANONYMITY AND POST QUANTUM SECURITY SUBSCRIBER IDENTITY MODULE (SIM) TECHNOLOGY FOR 5G/6G NTN (ARTES 4.0 SPL 4S 3D.040),Issued,Open Competition,2026-07-29T14:38:13,2026-10-15T13:00:00,2026-10-01T13:00:00,1,satellite,"Objective: The objective of the activity is to develop advanced and post-quantum Subscriber Identity Module (SIMs) for 5G/6G NTN. The focus is to improve user anonymity for robust non-terrestrialnetworks (NTNs) used for governmental applications which have a more urgent need for post-quantum anonymity protection than the commercial market. These SIMs shall implementsecurity improvements of the part of the primary authentication protocol which is implemented in the SIM. Additionally, the corresponding SIM provisioning infrastructure and the corenetwork responsible for the communication with the SIMs will be developed.TargetedImprovements: Enablinga European or Canadian source for robust NTN S",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/191339
GREEN - due >30 days,46,1-13635,191338,S3-PD-01 NEOMIR PHASE B1,Issued,Open Competition,2026-08-21T09:18:26,2026-10-16T13:00:00,2026-10-02T13:00:00,1,satellite,"The purpose of this activity is to study in detail the system and subsystem requirements for a planetary defence mission that aims at building a space-based infrared telescope dedicated to detection and characterisation of Near-Earth Objects (NEOs) that approach from the direction of the Sun. The mission builds on extensive work done by the Agency and European industry between 2022 and 2026. The target is to reach a consolidated mission and satellite architecture, finalize the major trade-offs and generate system and subsystem level requirements. In particular, the study will provide a consolidated spacecraft design and payload interface supported by detailed analyses and prepare the impleme",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/191338
GREEN - due >30 days,1218,4-40048,187346,NAVISP ELEMENT 2 STANDARD CALL FOR PROPOSALS,Issued,Call for Proposals,2026-05-19T11:39:57,2029-12-31T13:00:00,2029-11-01T13:00:00,1,satellite,"Under NAVISP Element 2, the Agency issues this permanently open Standard Call for Proposals without procurement, using Cooperative Agreements as contractual instrument.This Standard Call for Proposals without procurement aims to enhance Participant States' industrial competitiveness in the evolving Positioning, Navigation, and Timing (PNT) sector. Industry is invited to submit proposals to develop innovative and competitive PNT-related products. The Agency accepts proposals from both space and non-space companies, including large companies, mid-caps, small enterprises, and start-ups. Proposed products may address the satellite space segment, ground infrastructure, and user segment, including",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/187346
BLUE - monitor/no deadline,,1-13686,193752,DIGITAL TWIN OF ATTITUDE AND ORBIT SENSORS - EXPRO+,Intended,Open Competition,,,,12,"ai, artificial intelligence, autonomous, machine learning, on-board, satellite, thermal, validation","Objective:To develop and test a model for a digital twin of attitude and orbit control system (AOCS) sensors as well as toassess compatibility of this multi-physics model-based digital twin with on-board self-calibration employing datadriven techniques and withthe simplification of ground verification processes of new satellite platforms.Description:Advances in model based engineering and digital twin (DT) development has led to growth in the interest of multiphysic modelling of space systems, including, for example, AOCS sensors. The AOCS sensor DTs includefunctional and performance behaviour, complemented by physical behaviour (thermal, power, electronic, etc.), as well as failure and degr",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/193752
BLUE - monitor/no deadline,,1-13486,186396,SUSTAINABLE MINERAL RESOURCES MANAGEMENT - EXPRO+,Intended,Open Competition,,,,7,"earth observation, eo, quality, water","Sustainable mineral resource management involves the responsible extraction, use, and conservation of mineral resources to meet present needs without compromising the ability of future generations to meet theirs. It emphasizes efficient mining practices, minimizing environmental impacts, and restoring ecosystems after extraction. An important component of this approach is the use of Earth observation technologies, which allow the detection of (critical earth) minerals, continuous monitoring of mining activities, land degradation and water quality. The development of novel EO solutions and tools improve transparency, support better decision-making, andhelp detect unsustainable practices in ne",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/186396
BLUE - monitor/no deadline,,1-13620,190773,IN-ORBIT EXPERIMENT OF INTELLIGENT AUTONOMOUS AVIONICS ENABLING MULTI-ENVIRONMENT SATCOM SATELLITE OPERATION IN LEO (ARTES AT 3E.033) (ON DELEGATION REQUEST),Intended,Open Competition,,,,6,"autonomous, on-board, satellite, thermal","Objective: The objective of the activity is to design, develop, launch and test autonomous and intelligent avionics enabling satcomconstellation satellites to operate autonomously across multiple environmental conditions in Low Earth Orbit (LEO). Breadboarding and in-orbit testing of critical platform functions including health monitoring, orbital control and resourcemanagement will be carried out. As part of the in-orbit experiment, a payload technology demonstrator will be developed to experiment with innovative approaches of autonomous payload configuration and control.Targeted Improvements: Enabling autonomous operation and reconfiguration of a satellite in a range of orbital LEO environ",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/190773
BLUE - monitor/no deadline,,1-13489,186403,MULTI WAVELENGTH LASER SOURCE FOR CO-PACKAGED HIGH SPEED SERIAL LINKS (ARTES 4.0 SL SPL 5F.054) - EXRPO+ (ON REQUEST),Intended,Open Competition,,,,6,"on-board, onboard, satellite, thermal","Objective: The objective of this activity is to develop and test a multi-wavelength, multi-port light source for space applications. The source will need to be energyefficient, compact and able to generate continuous-wave multiple wavelengths output.TargetedImprovements:The multi-wavelength laser is needed to enable high-speed and high-density co-packaged optics data interconnects for space applications.Description: Modern telecommunication satellites use onboard digital processors to meet growing traffic demands. These high throughput processors can handle Tbpsof intra-processor traffic thanks to the adaptation of optical interconnects in placeof traditional electrical harness. When co-pack",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/186403
